,title,date,content
56,라이젠 5300u 5500u 질문드립니다,5시간 전,문의 내용 : 안녕하세요 다름아니라 서브용 노트북 하나 구매하려 하는데요 시피유 라이젠 5300 이랑 5500 고민중에 있습니다 5500이 더 좋은건 알지만 둘 가격차이가 조금 있어서 큰 차이 없으면 5300 할려고 하는데...
57,라이젠 4호기에 베가 56 니트로 달아줬습니다,2021.08.03.,쓰레드리퍼 2호기에 달아놨던 베가 56 니트로를 1080ti 로 바꾸게 되어 빼놨었는데 기회다 싶어서 라이젠 4호기에 장착했습니다. 라이젠 4호기에는 RX480 8gb 를 달아놨었는데 베가 56 니트로로 바꾸려니 크기가 매우...
58,라이젠 1세대 씁슬하네요....,2021.06.25.,라이젠 2세대 부터 윈도우 11 지원한다네요.... 아직도 라이젠 1세대 사용중인 사람들이 많기도 하지만 이제는 놓아줘야 할지 생각중이네요. 컴퓨터 바꿀 예산은 생각도 못하고 있었는데 앞이 캄캄 합니다 ㅋㅋㅋㅋㅋㅋ...
59,IBM NetVista 라이젠 현세 케이스 외 LG IBM MMX 166 (추억의 97년도 IMF형 레트로 컴퓨터) 복원하기,5일 전,추가적으로..IBM NT관련 ... 화이트 캐이스에 현세보드 라이젠입니다. 보드를 대충 넣어보니 들어가네요 ㅎ ㅎ 이런 느낌 뉴트로 라이젠 3600 아수스 프라임 a320m-k 오늘도 좋은 시간 되세요.. 고맙습니다.
60,다음세대는 라이젠 가겠읍니다..,2021.08.23.,보니 램 오버클럭 때문에 인텔으로만 맞췄는데 이제 슬슬 오버클럭도 지치네요 ㅋㅋ 맨날 100클럭 올린다고 hci며 tm5며 링스며 몇일 씩 돌리던거 생각해보면 흐... 다음 시스템은 라이젠으로 가겠읍니다...
61,라이젠 5800X 만족 후기,6일 전,R20을 돌려보면 상황에 따라 대충 6000~6200 정도로 나왔습니다. 브렌더라든지 마야로 렌더링을 하는 작업도 가끔 하다보니 여유가 생기면 12코어 이상의 라이젠 CPU를 다시한번 선택하여 업그레이드 할 예정입니다!
62,요가 슬림7 프로 인텔 모델과 라이젠 모델 고민중에 있습니다.,2021.07.26.,인텔 모델은 i7-1165G7에 MX450 들어가있고 라이젠은 5600H 또는 5800H 들어가있는 모델을 보았습니다. 인텔 모델은 기본적으로 90hz이고 라이젠 모델은 OLED모델로 가야 90HZ지원이더라구요. 보통은 코딩이나...
63,라이젠5 프로 5600G 세잔을 체험용PC로 만들었습니다.,4일 전,라이젠5 프로 5600G//고성능과 합리적 가격 모두 잡았다//고객센터 체험용PC 라는 제목으로 저희... 모두가 만족하는 AMD 라이젠 프로 - Cezanne(세잔) 2021년 8월 AMD에서 내장 그래픽 코어와 ZEN3 아키텍처를...
64,강릉 라이젠7 3700x 와 RTX 3060 컴퓨터 판매,4일 전,Previous image Next image 라이젠7 3700X 3Rsys RC410 화이트 ASUS TUF B450M PLUS II 마이크론 DDR4 16GB (8GB*2) 화이트 마이크론 NVME P2 500GB ZOTAC RTX 3060 쿨러마스터 정격 650W 3Rsys R500 케이스 화이트 판매...
65,라이젠 2700x 오버클럭 질문드립니다,2021.08.12.,com/fx8300/153015 ------------------------------------------------------------------ 안녕하세요 오버클럭 첫 도전해보려는 컴린인데요 cpu는 라이젠 2700x고 보드는 어로스 b450 엘리트고 쿨러는 쿨러마스터 하이퍼 212...
66,라이젠 게임 프레임문의,2021.08.10.,몇일전 글을 올리적이 있는데 완본체가 라이젠5600g모델이 들어가있는게 있어서 구매한후 아직 설치는 안했습니다. 성능을 물어보니 5600g모델은 내장그래픽을 쓰는거지 외장을 쓰면 성능이 안나온다고들...
67,AMD 라이젠 4세대 5600G 5700G 출시 가격 성능 테스트,2021.08.23.,AMD 라이젠 4세대 5600G 5700G 출시 가격 성능 테스트 by 별컴언니 여러분 안녕하세요 별컴언니 입니다.... AMD 라이젠 4세대 5600G 5700G 가 출시 되었어요. 두 주인공들의 성능 테스트 가격 함께 알아보도록 해요....
68,영상작업자 분이 선택한 라이젠9 5950X 조립컴퓨터,2021.08.19.,오늘은 영상작업자 분이 선택한 라이젠9 5950X 영상작업용 컴퓨터 소개해드리겠습니다. 이번 컴퓨터는 4K... CPU는 16코어 32스레드 짜리 AMD 라이젠9 5950X입니다. 일반 데스크탑용 CPU로는 가장 높은 성능의 최상급...
69,라이젠 스토어로 리뉴얼~ 청주 복대 컴마트,2021.08.13.,20년이 넘은 가게인데 최근 라이젠 스토어로 리뉴얼 했답니다~ 방문해 본 것은 아니나 컴퓨터 좋아하시는 괜찮은 분 같습니다... 아쉽게도 제가 필요한 바이오스 복구나 모니터수리는 이제 안하신다고 ㅜㅜ
70,[고객출고-시스기어] AMD 라이젠 5 5600X 컴퓨터 + RTX 3070 - 조*익 고객님,18시간 전,[고객출고-시스기어] AMD 라이젠 5 5600X 컴퓨터 + RTX 3070 - 조*익 고객님 주문 고객님 성함 : 조*익 고객님 주문 PC 모델명 : 고객맞춤견적 - CPU : AMD 라이젠5-4세대 5600X (버미어) (정품)...
71,"인텔, 라이젠 관련 질문",2021.08.07.,"인텔이 좋나요?) ✅Q3 :: 질문내용 or 증상이 어떤가요?(자세하게) => 답변 : 요즘 카페에서 보는 견적은 라이젠 5600X, 5800X가 많이 보이는데 주변인들은 게이밍 용도로는 인텔이 좋다하네요. 인텔과 라이젠의..."
72,문서작성 용 라이젠 5? 라이젠 7?,2021.07.21.,"많고 pdf 파일, 인터넷 창도 동시에 여러개 띄워놓고 등등 버벅거림이 없었으면 좋겠는데요 라이젠 5 정도면 될까요? 지금 생각하는 옵션은 라이젠5 16기가 또는 라이젠7 8기가 생각중입니다! 추천의견 부탁드립니다!"
73,라이젠 cpu질문드려요,7일 전,"[알림] 감사없이 계속 질문만 던지거나, 답변달리면 삭제하는 사람은 카페활동에 제재를 받게됩니다 https://cafe.naver.com/fx8300/153015 ------------------------------------------------------------------ 라이젠도 인텔처럼..."
